Time,in_V_M1,in_V_M2,in_V_M3,in_V_M4,out_W_M1,out_W_M2,out_W_M3,out_W_M4,V_Batt,j
5149,12.00,12.00,12.00,12.00,-5.05,-4.91,-4.63,-4.49,8.71,6
5159,12.00,12.00,12.00,12.00,-5.89,-5.75,-5.47,-5.47,9.20,7
5169,12.00,12.00,12.00,12.00,-6.59,-6.31,-6.45,-6.31,9.28,8
5179,12.00,12.00,12.00,12.00,-7.43,-7.15,-7.29,-7.01,9.53,9
5189,12.00,12.00,12.00,12.00,-7.99,-7.85,-7.85,-7.71,9.70,10
5199,12.00,12.00,12.00,12.00,-8.56,-8.41,-8.56,-8.27,10.04,11
5209,12.00,12.00,12.00,12.00,-9.12,-8.98,-9.12,-8.84,10.34,12
5219,12.00,12.00,12.00,12.00,-9.68,-9.54,-9.68,-9.40,10.52,13
5229,12.00,12.00,12.00,12.00,-10.10,-9.96,-10.24,-9.96,10.53,14
5239,12.00,12.00,12.00,12.00,-10.52,-10.24,-10.66,-10.38,10.72,15
5249,12.00,12.00,12.00,12.00,-10.94,-10.80,-10.94,-10.66,11.04,16
5259,12.00,12.00,12.00,12.00,-11.22,-11.08,-11.50,-11.08,11.08,17
5269,12.00,12.00,12.00,12.00,-11.64,-11.36,-11.64,-11.50,11.07,18
5279,12.00,12.00,12.00,12.00,-12.06,-11.64,-12.20,-11.78,11.25,19
5289,12.00,12.00,12.00,12.00,-12.20,-12.06,-12.34,-11.92,11.31,20
5299,12.00,12.00,12.00,12.00,-12.62,-12.06,-12.62,-12.34,11.50,21
5309,12.00,12.00,12.00,12.00,-12.76,-12.48,-12.90,-12.62,11.56,22
5319,12.00,12.00,12.00,12.00,-13.04,-12.76,-13.18,-12.76,11.66,23
5329,12.00,12.00,12.00,12.00,-13.18,-12.76,-13.32,-13.04,11.70,24
5339,12.00,12.00,12.00,12.00,-13.60,-13.18,-13.60,-13.04,11.77,25
5349,12.00,12.00,12.00,12.00,-13.60,-13.18,-13.74,-13.46,11.89,26
5359,12.00,12.00,12.00,12.00,-13.74,-13.46,-13.88,-13.46,11.83,27
5369,12.00,12.00,12.00,12.00,-14.02,-13.46,-14.17,-13.74,11.92,28
5379,12.00,12.00,12.00,12.00,-14.17,-13.74,-14.17,-13.74,11.90,29
5389,12.00,12.00,12.00,12.00,-14.31,-13.74,-14.31,-14.02,12.00,30
5399,12.00,12.00,12.00,12.00,-14.45,-14.02,-14.59,-14.17,11.89,31
5409,12.00,12.00,12.00,12.00,-14.59,-13.88,-14.59,-14.17,12.01,32
5419,12.00,12.00,12.00,12.00,-14.59,-14.17,-14.73,-14.31,12.15,33
5429,12.00,12.00,12.00,12.00,-14.87,-14.17,-14.87,-14.45,12.12,34
5439,12.00,12.00,12.00,12.00,-14.87,-14.31,-14.87,-14.45,12.20,35
5449,12.00,12.00,12.00,12.00,-15.01,-14.45,-14.87,-14.59,12.16,36
5459,12.00,12.00,12.00,12.00,-15.01,-14.45,-15.15,-14.59,12.21,37
5469,12.00,12.00,12.00,12.00,-15.15,-14.59,-15.15,-14.73,12.30,38
5479,12.00,12.00,12.00,12.00,-15.29,-14.73,-15.15,-14.87,12.25,39
5489,12.00,12.00,12.00,12.00,-15.29,-14.59,-15.43,-14.73,12.22,40
5499,12.00,12.00,12.00,12.00,-15.29,-14.73,-15.29,-15.01,12.29,41
5509,12.00,12.00,12.00,12.00,-15.43,-14.87,-15.43,-14.73,12.29,42
5519,12.00,12.00,12.00,12.00,-15.43,-14.73,-15.43,-15.01,12.33,43
5529,12.00,12.00,12.00,12.00,-15.43,-15.01,-15.57,-15.01,12.34,44
5539,12.00,12.00,12.00,12.00,-15.57,-14.87,-15.57,-15.01,12.36,45
5549,12.00,12.00,12.00,12.00,-15.57,-15.01,-15.57,-15.01,12.33,46
5559,12.00,12.00,12.00,12.00,-15.71,-15.01,-15.57,-15.15,12.33,47
5569,12.00,12.00,12.00,12.00,-15.57,-15.01,-15.71,-15.01,12.38,48
5579,12.00,12.00,12.00,12.00,-15.71,-15.01,-15.57,-15.15,12.44,49
5589,12.00,12.00,12.00,12.00,-15.71,-15.01,-15.85,-15.15,12.36,50
5599,12.00,12.00,12.00,12.00,-15.85,-15.15,-15.71,-15.15,12.45,51
5609,12.00,12.00,12.00,12.00,-15.71,-15.15,-15.71,-15.15,12.40,52
5619,12.00,12.00,12.00,12.00,-15.85,-15.01,-15.85,-15.29,12.50,53
5629,12.00,12.00,12.00,12.00,-15.85,-15.29,-15.85,-15.15,12.46,54
5639,12.00,12.00,12.00,12.00,-15.71,-15.01,-15.85,-15.29,12.45,55
5649,12.00,12.00,12.00,12.00,-15.99,-15.15,-15.85,-15.43,12.30,56
5659,12.00,12.00,12.00,12.00,-15.85,-15.29,-15.85,-15.29,12.48,57
5669,12.00,12.00,12.00,12.00,-15.99,-15.15,-15.85,-15.29,12.54,58
5679,12.00,12.00,12.00,12.00,-15.85,-15.29,-15.99,-15.43,12.55,59
5689,12.00,12.00,12.00,12.00,-15.99,-15.29,-15.85,-15.43,12.42,60
5699,12.00,12.00,12.00,12.00,-15.99,-15.29,-15.99,-15.43,12.49,61
5709,12.00,12.00,12.00,12.00,-15.99,-15.29,-15.85,-15.43,12.54,62
5719,12.00,12.00,12.00,12.00,-15.99,-15.29,-15.99,-15.57,12.44,63
5729,12.00,12.00,12.00,12.00,-15.99,-15.29,-15.99,-15.43,12.38,64
5739,12.00,12.00,12.00,12.00,-16.13,-15.29,-15.99,-15.43,12.52,65
5749,12.00,12.00,12.00,12.00,-16.13,-15.43,-15.99,-15.57,12.47,66
5759,12.00,12.00,12.00,12.00,-15.99,-15.43,-15.99,-15.57,12.52,67
5769,12.00,12.00,12.00,12.00,-16.13,-15.43,-15.99,-15.57,12.52,68
5779,12.00,12.00,12.00,12.00,-16.13,-15.43,-16.13,-15.57,12.48,69
5789,12.00,12.00,12.00,12.00,-16.13,-15.57,-15.99,-15.57,12.43,70
5799,12.00,12.00,12.00,12.00,-16.13,-15.43,-16.13,-15.71,12.51,71
5809,12.00,12.00,12.00,12.00,-16.13,-15.43,-15.99,-15.57,12.52,72
5819,12.00,12.00,12.00,12.00,-16.13,-15.43,-16.13,-15.57,12.53,73
5829,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.71,12.52,74
5839,12.00,12.00,12.00,12.00,-16.13,-15.57,-15.99,-15.57,12.43,75
5849,12.00,12.00,12.00,12.00,-16.13,-15.43,-16.13,-15.71,12.64,76
5859,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.57,12.46,77
5869,12.00,12.00,12.00,12.00,-16.13,-15.57,-16.13,-15.71,12.60,78
5879,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.57,12.48,79
5889,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.57,12.57,80
5899,12.00,12.00,12.00,12.00,-16.13,-15.57,-16.13,-15.57,12.57,81
5909,12.00,12.00,12.00,12.00,-16.27,-15.71,-16.13,-15.71,12.62,82
5919,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.57,12.59,83
5929,12.00,12.00,12.00,12.00,-16.13,-15.57,-16.13,-15.57,12.60,84
5939,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.27,-15.57,12.54,85
5949,12.00,12.00,12.00,12.00,-16.13,-15.57,-16.13,-15.57,12.60,86
5959,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.57,12.58,87
5969,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.27,-15.57,12.59,88
5979,12.00,12.00,12.00,12.00,-16.13,-15.57,-16.13,-15.43,12.56,89
5989,12.00,12.00,12.00,12.00,-16.27,-15.71,-16.13,-15.57,12.56,90
5999,12.00,12.00,12.00,12.00,-16.13,-15.43,-16.13,-15.57,12.62,91
6009,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.43,12.62,92
6019,12.00,12.00,12.00,12.00,-16.13,-15.57,-16.27,-15.57,12.61,93
6029,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.57,12.58,94
6039,12.00,12.00,12.00,12.00,-16.13,-15.43,-16.13,-15.57,12.50,95
6049,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.57,12.61,96
6059,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.27,-15.57,12.63,97
6069,12.00,12.00,12.00,12.00,-16.13,-15.57,-16.13,-15.57,12.55,98
6079,12.00,12.00,12.00,12.00,-16.27,-15.43,-16.27,-15.57,12.65,99
6089,12.00,12.00,12.00,12.00,-16.27,-15.57,-16.13,-15.71,12.49,0
6099,0.00,0.00,0.00,0.00,-20.20,-19.49,-20.34,-19.49,12.66,1
6109,0.00,0.00,0.00,0.00,-11.36,-10.80,-11.50,-11.08,13.27,2
6119,0.00,0.00,0.00,0.00,-13.04,-12.48,-13.18,-12.76,13.29,3
6129,0.00,0.00,0.00,0.00,-11.22,-10.24,-11.22,-10.66,13.30,4
6139,0.00,0.00,0.00,0.00,-9.40,-8.56,-9.12,-8.98,13.30,5
6149,0.00,0.00,0.00,0.00,-7.85,-7.01,-7.43,-7.29,13.31,6
6159,0.00,0.00,0.00,0.00,-6.31,-5.47,-6.03,-5.89,13.32,7
6169,0.00,0.00,0.00,0.00,-5.33,-4.49,-4.77,-4.77,13.32,8
6179,0.00,0.00,0.00,0.00,-4.21,-3.37,-3.79,-3.79,13.32,9
6189,0.00,0.00,0.00,0.00,-3.23,-2.81,-2.95,-2.95,13.32,10
6199,0.00,0.00,0.00,0.00,-2.66,-2.10,-2.24,-2.38,13.33,11
6209,0.00,0.00,0.00,0.00,-2.10,-1.68,-1.68,-1.82,13.34,12
6219,0.00,0.00,0.00,0.00,-1.54,-1.12,-1.26,-1.40,13.34,13
6229,0.00,0.00,0.00,0.00,-1.26,-0.84,-0.84,-1.12,13.34,14
6239,0.00,0.00,0.00,0.00,-0.98,-0.70,-0.70,-0.84,13.34,15
6249,0.00,0.00,0.00,0.00,-0.56,-0.42,-0.56,-0.56,13.34,16
6259,0.00,0.00,0.00,0.00,-0.56,-0.28,-0.28,-0.42,13.34,17
6269,0.00,0.00,0.00,0.00,-0.28,-0.28,-0.14,-0.28,13.35,18
6279,0.00,0.00,0.00,0.00,-0.28,0.00,-0.14,-0.14,13.35,19
6289,0.00,0.00,0.00,0.00,-0.14,0.00,0.00,-0.14,13.35,20
6299,0.00,0.00,0.00,0.00,-0.14,0.00,0.00,-0.00,13.35,21
6309,0.00,0.00,0.00,0.00,0.14,0.00,0.00,-0.00,13.36,22
6319,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.35,23
6329,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,24
6339,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,25
6349,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,26
6359,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,27
6369,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,28
6379,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,29
6389,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,30
6399,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,31
6409,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,32
6419,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,33
6429,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,34
6439,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,35
6449,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,36
6459,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,37
6469,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,38
6479,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,39
6489,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,13.36,40
